Intercept	Slope
-2.197721060894885	0.950996312033075
-8.67673168601656		1.053425833326478
3.106343871784029		0.8500185662510326
7.930374051354947		0.9152880769283053
5.332091613267197		0.90892068271512
-0.482275777068894	1.1764564759027667
2.349155296030072		0.9351201526985924
6.42674151908791		0.905722312072537
3.6343064373060545	0.9781765442487067
1.573409496451831		1.0906500882720676
0.3376653992687366	0.9026341509495318
0.44850504366915456	0.9525959391843386
-1.4835032201436362	1.2549460407284792
2.4770133129654477	0.9873487659556677
-3.6753709134334045	0.7970071983560945
